GOOD,nOtakfi+x,notakfish,choctaw,beard
GOOD,losa+,losa,choctaw,black
GOOD,hUknI+p,haknip,choctaw,body
GOOD,xo&_xi+,shoshi,choctaw,bug
GOOD,Issi',issi,choctaw,deer
GOOD,USpowa+,alhpoa,choctaw,domesticated animal
GOOD,aka&_koxi+',akakoshi,choctaw,egg
GOOD,IttI&_kUna+,itikana,choctaw,friends/peace
GOOD,Ippo+k,ippok,choctaw,grandchild
GOOD,hUttU+k,hattak,choctaw,human
GOOD,halo+pa,haloppa,choctaw,keenness
GOOD,hOh~ytxifo+,hohchifo,choctaw,name
GOOD,txU+kka_lih,chakkāli,choctaw,nine
GOOD,o&_tO+kloh,otoklo,choctaw,seven
GOOD,koni+h,koni,choctaw,skunk
GOOD,hUshi+,hʋshi,choctaw,sun
GOOD,talo_wa+h,taloowá,choctaw,to sing
GOOD,Itti+,itti',choctaw,tree
GOOD,lOksi+',luksi,choctaw,turtle
GOOD,tiktxi+,tikchi,choctaw,wife
GOOD,na_powa+,napoa,choctaw,wild animal
GOOD,hUxtola+,hashtola,choctaw,winter
U&,ma^sU&,maçã,portuguese (brazil),apple
e&,e&^tri,entre,portuguese (brazil),between
U&O&,korasU&O&,coração,portuguese (brazil),heart
U&I&,mU&I&,mãe,portuguese (brazil),mother
U&,lU&mU,lama,portuguese (brazil),mud
a&,iGma&,irmã,portuguese (brazil),sister
G,koly~E^G,colher,portuguese (brazil),spoon
txh~,mo^umatxh~i,মৌমাছি,bengali,bee
R,haR,হাড়,bengali,bone
txh~,txh~E^le,ছেলে,bengali,boy
kh~,makh~o#n,মাখন,bengali,butter
gh~,gh~o#ri,ঘর,bengali,clock
gh~,megh~,মেঘ,bengali,cloud
kh~,kh~e^Tr,ক্ষেত্র,bengali,field
txh~,matxh~,মাছ,bengali,fish
djh~,mE^djh~e,মেঝে,bengali,floor
R,uRe,উড়ে,bengali,fly
R,pa^haR,পাহাড়,bengali,hill
R,ba^Ri,বাড়ি,bengali,home
gh~,gh~o^ra,ঘোড়া,bengali,horse
Th~,Th~ot,ঠোঁট,bengali,lip
R,gh~aR,ঘাড়,bengali,neck
kh~,kh~o,কক্ষ,bengali,orb
R,dRi,দড়ি,bengali,rope
kh~,kh~e^la,খেলা,bengali,sport
Th~,laTh~i^,লাঠি,bengali,stick
djh~,djh~o#r,ঝড়,bengali,storm
R,nE^kRe,নেকড়ে,bengali,wolf
Th~,kaTh~,কাঠ,bengali,wood
GOOD,hamo#zmu^qkh~,համոզմունք,armenian,belief
GOOD,haxvapahutsh~yu^n,հաշվապահություն,armenian,bookkeeping
GOOD,HUHtxmuta^qkh~,խղճմտանք,armenian,conscience
GOOD,iqkh~nuru^yn,ինքնուրույն,armenian,independent
GOOD,hadjo#Gutsh~yu^n,հաջողություն,armenian,success
GOOD,avElatsh~nE^l,ավելացնել,armenian,to add
GOOD,kh~Urth~mUndja^l,քրթմնջալ,armenian,to mutter
GOOD,nErkh~nazgE^st,ներքնազգեստ,armenian,underwear
